IssueKey,IssueType,Summary,Description,Priority,Status,Assignee,Reporter,EpicLink,Sprint,StoryPoints,Labels,Created,DueDate,OriginalEstimate,TimeSpent,Components
FREQ-6,Task,Code Review for Login com email e senha,Task: Code Review,Highest,To Do,Ana Oliveira,Joao Santos,EPIC-1,Sprint 1,,task code-review,2025-12-31,2026-01-19,4h,,Module-1
FREQ-7,Story,Recuperacao de senha por email,User story: Recuperacao de senha por email,High,Done,Carlos Mendes,Maria Silva,EPIC-1,Sprint 1,2,sprint-1 epic-1,2025-12-27,2026-01-19,16h,12h,Module-1
FREQ-8,Task,Design UI/UX for Recuperacao de senha por email,Task: Design UI/UX,High,Done,Juliana Souza,Joao Santos,EPIC-1,Sprint 1,,task design-ui/ux,2025-12-28,2026-01-19,4h,3h,Module-1
FREQ-9,Task,Backend Implementation for Recuperacao de senha por email,Task: Backend Implementation,High,Done,Carlos Mendes,Joao Santos,EPIC-1,Sprint 1,,task backend-implementation,2025-12-28,2026-01-19,4h,4h,Module-1
FREQ-10,Task,Frontend Web Implementation for Recuperacao de senha por email,Task: Frontend Web Implementation,High,Done,Beatriz Costa,Joao Santos,EPIC-1,Sprint 1,,task frontend-web-implementation,2025-12-28,2026-01-19,4h,3h,Module-1
FREQ-11,Task,Unit Tests for Recuperacao de senha por email,Task: Unit Tests,High,Done,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task unit-tests,2025-12-28,2026-01-19,2h,2h,Module-1
FREQ-12,Task,Code Review for Recuperacao de senha por email,Task: Code Review,High,Done,Ana Oliveira,Joao Santos,EPIC-1,Sprint 1,,task code-review,2025-12-28,2026-01-19,4h,3h,Module-1
FREQ-13,Story,Login social Google Facebook,User story: Login social Google Facebook,Medium,Done,Carlos Mendes,Maria Silva,EPIC-1,Sprint 1,5,sprint-1 epic-1,2026-01-01,2026-01-19,40h,30h,Module-1
FREQ-14,Task,Design UI/UX for Login social Google Facebook,Task: Design UI/UX,Medium,Done,Juliana Souza,Joao Santos,EPIC-1,Sprint 1,,task design-ui/ux,2026-01-02,2026-01-19,4h,3h,Module-1
FREQ-15,Task,Backend Implementation for Login social Google Facebook,Task: Backend Implementation,Medium,Done,Carlos Mendes,Joao Santos,EPIC-1,Sprint 1,,task backend-implementation,2026-01-02,2026-01-19,12h,10h,Module-1
FREQ-16,Task,Frontend Web Implementation for Login social Google Facebook,Task: Frontend Web Implementation,Medium,Done,Beatriz Costa,Joao Santos,EPIC-1,Sprint 1,,task frontend-web-implementation,2026-01-02,2026-01-19,10h,8h,Module-1
FREQ-17,Task,Mobile Implementation for Login social Google Facebook,Task: Mobile Implementation,Medium,Done,Pedro Almeida,Joao Santos,EPIC-1,Sprint 1,,task mobile-implementation,2026-01-02,2026-01-19,10h,8h,Module-1
FREQ-18,Task,Unit Tests for Login social Google Facebook,Task: Unit Tests,Medium,Done,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task unit-tests,2026-01-02,2026-01-19,6h,5h,Module-1
FREQ-19,Task,E2E Tests for Login social Google Facebook,Task: E2E Tests,Medium,Done,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task e2e-tests,2026-01-02,2026-01-19,6h,5h,Module-1
FREQ-20,Task,Code Review for Login social Google Facebook,Task: Code Review,Medium,Done,Ana Oliveira,Joao Santos,EPIC-1,Sprint 1,,task code-review,2026-01-02,2026-01-19,4h,3h,Module-1
FREQ-21,Story,Cadastro de novo usuario,User story: Cadastro de novo usuario,Highest,Done,Beatriz Costa,Maria Silva,EPIC-1,Sprint 1,3,sprint-1 epic-1,2026-01-03,2026-01-19,24h,18h,Module-1
FREQ-22,Task,Design UI/UX for Cadastro de novo usuario,Task: Design UI/UX,Highest,Done,Juliana Souza,Joao Santos,EPIC-1,Sprint 1,,task design-ui/ux,2026-01-04,2026-01-19,4h,3h,Module-1
FREQ-23,Task,Backend Implementation for Cadastro de novo usuario,Task: Backend Implementation,Highest,Done,Carlos Mendes,Joao Santos,EPIC-1,Sprint 1,,task backend-implementation,2026-01-04,2026-01-19,7h,6h,Module-1
FREQ-24,Task,Frontend Web Implementation for Cadastro de novo usuario,Task: Frontend Web Implementation,Highest,Done,Beatriz Costa,Joao Santos,EPIC-1,Sprint 1,,task frontend-web-implementation,2026-01-04,2026-01-19,6h,5h,Module-1
FREQ-25,Task,Unit Tests for Cadastro de novo usuario,Task: Unit Tests,Highest,Done,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task unit-tests,2026-01-04,2026-01-19,3h,3h,Module-1
FREQ-26,Task,Code Review for Cadastro de novo usuario,Task: Code Review,Highest,Done,Ana Oliveira,Joao Santos,EPIC-1,Sprint 1,,task code-review,2026-01-04,2026-01-19,4h,3h,Module-1
FREQ-27,Story,Perfil de aluno com foto e dados,User story: Perfil de aluno com foto e dados,High,Done,Pedro Almeida,Maria Silva,EPIC-1,Sprint 1,3,sprint-1 epic-1,2025-12-28,2026-01-19,24h,18h,Module-1
FREQ-28,Task,Design UI/UX for Perfil de aluno com foto e dados,Task: Design UI/UX,High,Done,Juliana Souza,Joao Santos,EPIC-1,Sprint 1,,task design-ui/ux,2025-12-29,2026-01-19,4h,3h,Module-1
FREQ-29,Task,Backend Implementation for Perfil de aluno com foto e dados,Task: Backend Implementation,High,Done,Carlos Mendes,Joao Santos,EPIC-1,Sprint 1,,task backend-implementation,2025-12-29,2026-01-19,7h,6h,Module-1
FREQ-30,Task,Frontend Web Implementation for Perfil de aluno com foto e dados,Task: Frontend Web Implementation,High,Done,Beatriz Costa,Joao Santos,EPIC-1,Sprint 1,,task frontend-web-implementation,2025-12-29,2026-01-19,6h,5h,Module-1
FREQ-31,Task,Unit Tests for Perfil de aluno com foto e dados,Task: Unit Tests,High,Done,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task unit-tests,2025-12-29,2026-01-19,3h,3h,Module-1
FREQ-32,Task,Code Review for Perfil de aluno com foto e dados,Task: Code Review,High,Done,Ana Oliveira,Joao Santos,EPIC-1,Sprint 1,,task code-review,2025-12-29,2026-01-19,4h,3h,Module-1
FREQ-33,Story,Perfil de professor com disciplinas,User story: Perfil de professor com disciplinas,High,In Progress,Pedro Almeida,Maria Silva,EPIC-1,Sprint 1,3,sprint-1 epic-1,2026-01-02,2026-01-19,24h,,Module-1
FREQ-34,Task,Design UI/UX for Perfil de professor com disciplinas,Task: Design UI/UX,High,To Do,Juliana Souza,Joao Santos,EPIC-1,Sprint 1,,task design-ui/ux,2026-01-03,2026-01-19,4h,,Module-1
FREQ-35,Task,Backend Implementation for Perfil de professor com disciplinas,Task: Backend Implementation,High,To Do,Carlos Mendes,Joao Santos,EPIC-1,Sprint 1,,task backend-implementation,2026-01-03,2026-01-19,7h,,Module-1
FREQ-36,Task,Frontend Web Implementation for Perfil de professor com disciplinas,Task: Frontend Web Implementation,High,To Do,Beatriz Costa,Joao Santos,EPIC-1,Sprint 1,,task frontend-web-implementation,2026-01-03,2026-01-19,6h,,Module-1
FREQ-37,Task,Unit Tests for Perfil de professor com disciplinas,Task: Unit Tests,High,In Progress,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task unit-tests,2026-01-03,2026-01-19,3h,,Module-1
FREQ-38,Task,Code Review for Perfil de professor com disciplinas,Task: Code Review,High,In Progress,Ana Oliveira,Joao Santos,EPIC-1,Sprint 1,,task code-review,2026-01-03,2026-01-19,4h,,Module-1
FREQ-39,Story,Perfil admin com permissoes,User story: Perfil admin com permissoes,Medium,Done,Carlos Mendes,Maria Silva,EPIC-1,Sprint 1,5,sprint-1 epic-1,2025-12-29,2026-01-19,40h,30h,Module-1
FREQ-40,Task,Design UI/UX for Perfil admin com permissoes,Task: Design UI/UX,Medium,Done,Juliana Souza,Joao Santos,EPIC-1,Sprint 1,,task design-ui/ux,2025-12-30,2026-01-19,4h,3h,Module-1
FREQ-41,Task,Backend Implementation for Perfil admin com permissoes,Task: Backend Implementation,Medium,Done,Carlos Mendes,Joao Santos,EPIC-1,Sprint 1,,task backend-implementation,2025-12-30,2026-01-19,12h,10h,Module-1
FREQ-42,Task,Frontend Web Implementation for Perfil admin com permissoes,Task: Frontend Web Implementation,Medium,Done,Beatriz Costa,Joao Santos,EPIC-1,Sprint 1,,task frontend-web-implementation,2025-12-30,2026-01-19,10h,8h,Module-1
FREQ-43,Task,Mobile Implementation for Perfil admin com permissoes,Task: Mobile Implementation,Medium,Done,Pedro Almeida,Joao Santos,EPIC-1,Sprint 1,,task mobile-implementation,2025-12-30,2026-01-19,10h,8h,Module-1
FREQ-44,Task,Unit Tests for Perfil admin com permissoes,Task: Unit Tests,Medium,Done,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task unit-tests,2025-12-30,2026-01-19,6h,5h,Module-1
FREQ-45,Task,E2E Tests for Perfil admin com permissoes,Task: E2E Tests,Medium,Done,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task e2e-tests,2025-12-30,2026-01-19,6h,5h,Module-1
FREQ-46,Task,Code Review for Perfil admin com permissoes,Task: Code Review,Medium,Done,Ana Oliveira,Joao Santos,EPIC-1,Sprint 1,,task code-review,2025-12-30,2026-01-19,4h,3h,Module-1
FREQ-47,Story,Autenticacao 2FA via SMS,User story: Autenticacao 2FA via SMS,Low,In Progress,Carlos Mendes,Maria Silva,EPIC-1,Sprint 1,8,sprint-1 epic-1,2025-12-30,2026-01-19,64h,,Module-1
FREQ-48,Task,Design UI/UX for Autenticacao 2FA via SMS,Task: Design UI/UX,Low,Done,Juliana Souza,Joao Santos,EPIC-1,Sprint 1,,task design-ui/ux,2025-12-31,2026-01-19,4h,3h,Module-1
FREQ-49,Task,Backend Implementation for Autenticacao 2FA via SMS,Task: Backend Implementation,Low,In Progress,Carlos Mendes,Joao Santos,EPIC-1,Sprint 1,,task backend-implementation,2025-12-31,2026-01-19,19h,,Module-1
FREQ-50,Task,Frontend Web Implementation for Autenticacao 2FA via SMS,Task: Frontend Web Implementation,Low,To Do,Beatriz Costa,Joao Santos,EPIC-1,Sprint 1,,task frontend-web-implementation,2025-12-31,2026-01-19,16h,,Module-1
FREQ-51,Task,Mobile Implementation for Autenticacao 2FA via SMS,Task: Mobile Implementation,Low,Done,Pedro Almeida,Joao Santos,EPIC-1,Sprint 1,,task mobile-implementation,2025-12-31,2026-01-19,16h,14h,Module-1
FREQ-52,Task,Unit Tests for Autenticacao 2FA via SMS,Task: Unit Tests,Low,Done,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task unit-tests,2025-12-31,2026-01-19,9h,8h,Module-1
FREQ-53,Task,E2E Tests for Autenticacao 2FA via SMS,Task: E2E Tests,Low,In Progress,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task e2e-tests,2025-12-31,2026-01-19,9h,,Module-1
FREQ-54,Task,Code Review for Autenticacao 2FA via SMS,Task: Code Review,Low,To Do,Ana Oliveira,Joao Santos,EPIC-1,Sprint 1,,task code-review,2025-12-31,2026-01-19,4h,,Module-1
FREQ-55,Task,Documentation for Autenticacao 2FA via SMS,Task: Documentation,Low,In Progress,Joao Santos,Joao Santos,EPIC-1,Sprint 1,,task documentation,2025-12-31,2026-01-19,8h,,Module-1
FREQ-56,Story,Gerar QR Code por aula,User story: Gerar QR Code por aula,Highest,Done,Pedro Almeida,Maria Silva,EPIC-2,Sprint 2,5,sprint-2 epic-2,2026-01-10,2026-02-02,40h,30h,Module-2
FREQ-57,Task,Design UI/UX for Gerar QR Code por aula,Task: Design UI/UX,Highest,Done,Juliana Souza,Joao Santos,EPIC-2,Sprint 2,,task design-ui/ux,2026-01-11,2026-02-02,4h,3h,Module-2
FREQ-58,Task,Backend Implementation for Gerar QR Code por aula,Task: Backend Implementation,Highest,Done,Carlos Mendes,Joao Santos,EPIC-2,Sprint 2,,task backend-implementation,2026-01-11,2026-02-02,12h,10h,Module-2
FREQ-59,Task,Frontend Web Implementation for Gerar QR Code por aula,Task: Frontend Web Implementation,Highest,Done,Beatriz Costa,Joao Santos,EPIC-2,Sprint 2,,task frontend-web-implementation,2026-01-11,2026-02-02,10h,8h,Module-2
FREQ-60,Task,Mobile Implementation for Gerar QR Code por aula,Task: Mobile Implementation,Highest,Done,Pedro Almeida,Joao Santos,EPIC-2,Sprint 2,,task mobile-implementation,2026-01-11,2026-02-02,10h,8h,Module-2
FREQ-61,Task,Unit Tests for Gerar QR Code por aula,Task: Unit Tests,Highest,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task unit-tests,2026-01-11,2026-02-02,6h,5h,Module-2
FREQ-62,Task,E2E Tests for Gerar QR Code por aula,Task: E2E Tests,Highest,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task e2e-tests,2026-01-11,2026-02-02,6h,5h,Module-2
FREQ-63,Task,Code Review for Gerar QR Code por aula,Task: Code Review,Highest,Done,Ana Oliveira,Joao Santos,EPIC-2,Sprint 2,,task code-review,2026-01-11,2026-02-02,4h,3h,Module-2
FREQ-64,Story,Escanear QR Code para presenca,User story: Escanear QR Code para presenca,Highest,In Progress,Pedro Almeida,Maria Silva,EPIC-2,Sprint 2,5,sprint-2 epic-2,2026-01-14,2026-02-02,40h,,Module-2
FREQ-65,Task,Design UI/UX for Escanear QR Code para presenca,Task: Design UI/UX,Highest,To Do,Juliana Souza,Joao Santos,EPIC-2,Sprint 2,,task design-ui/ux,2026-01-15,2026-02-02,4h,,Module-2
FREQ-66,Task,Backend Implementation for Escanear QR Code para presenca,Task: Backend Implementation,Highest,Done,Carlos Mendes,Joao Santos,EPIC-2,Sprint 2,,task backend-implementation,2026-01-15,2026-02-02,12h,10h,Module-2
FREQ-67,Task,Frontend Web Implementation for Escanear QR Code para presenca,Task: Frontend Web Implementation,Highest,To Do,Beatriz Costa,Joao Santos,EPIC-2,Sprint 2,,task frontend-web-implementation,2026-01-15,2026-02-02,10h,,Module-2
FREQ-68,Task,Mobile Implementation for Escanear QR Code para presenca,Task: Mobile Implementation,Highest,To Do,Pedro Almeida,Joao Santos,EPIC-2,Sprint 2,,task mobile-implementation,2026-01-15,2026-02-02,10h,,Module-2
FREQ-69,Task,Unit Tests for Escanear QR Code para presenca,Task: Unit Tests,Highest,To Do,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task unit-tests,2026-01-15,2026-02-02,6h,,Module-2
FREQ-70,Task,E2E Tests for Escanear QR Code para presenca,Task: E2E Tests,Highest,To Do,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task e2e-tests,2026-01-15,2026-02-02,6h,,Module-2
FREQ-71,Task,Code Review for Escanear QR Code para presenca,Task: Code Review,Highest,To Do,Ana Oliveira,Joao Santos,EPIC-2,Sprint 2,,task code-review,2026-01-15,2026-02-02,4h,,Module-2
FREQ-72,Story,Validacao de geolocalizacao,User story: Validacao de geolocalizacao,High,Done,Beatriz Costa,Maria Silva,EPIC-2,Sprint 2,8,sprint-2 epic-2,2026-01-16,2026-02-02,64h,48h,Module-2
FREQ-73,Task,Design UI/UX for Validacao de geolocalizacao,Task: Design UI/UX,High,Done,Juliana Souza,Joao Santos,EPIC-2,Sprint 2,,task design-ui/ux,2026-01-17,2026-02-02,4h,3h,Module-2
FREQ-74,Task,Backend Implementation for Validacao de geolocalizacao,Task: Backend Implementation,High,Done,Carlos Mendes,Joao Santos,EPIC-2,Sprint 2,,task backend-implementation,2026-01-17,2026-02-02,19h,16h,Module-2
FREQ-75,Task,Frontend Web Implementation for Validacao de geolocalizacao,Task: Frontend Web Implementation,High,Done,Beatriz Costa,Joao Santos,EPIC-2,Sprint 2,,task frontend-web-implementation,2026-01-17,2026-02-02,16h,14h,Module-2
FREQ-76,Task,Mobile Implementation for Validacao de geolocalizacao,Task: Mobile Implementation,High,Done,Pedro Almeida,Joao Santos,EPIC-2,Sprint 2,,task mobile-implementation,2026-01-17,2026-02-02,16h,14h,Module-2
FREQ-77,Task,Unit Tests for Validacao de geolocalizacao,Task: Unit Tests,High,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task unit-tests,2026-01-17,2026-02-02,9h,8h,Module-2
FREQ-78,Task,E2E Tests for Validacao de geolocalizacao,Task: E2E Tests,High,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task e2e-tests,2026-01-17,2026-02-02,9h,8h,Module-2
FREQ-79,Task,Code Review for Validacao de geolocalizacao,Task: Code Review,High,Done,Ana Oliveira,Joao Santos,EPIC-2,Sprint 2,,task code-review,2026-01-17,2026-02-02,4h,3h,Module-2
FREQ-80,Task,Documentation for Validacao de geolocalizacao,Task: Documentation,High,Done,Joao Santos,Joao Santos,EPIC-2,Sprint 2,,task documentation,2026-01-17,2026-02-02,8h,7h,Module-2
FREQ-81,Story,Registro manual pelo professor,User story: Registro manual pelo professor,High,Done,Pedro Almeida,Maria Silva,EPIC-2,Sprint 2,3,sprint-2 epic-2,2026-01-14,2026-02-02,24h,18h,Module-2
FREQ-82,Task,Design UI/UX for Registro manual pelo professor,Task: Design UI/UX,High,Done,Juliana Souza,Joao Santos,EPIC-2,Sprint 2,,task design-ui/ux,2026-01-15,2026-02-02,4h,3h,Module-2
FREQ-83,Task,Backend Implementation for Registro manual pelo professor,Task: Backend Implementation,High,Done,Carlos Mendes,Joao Santos,EPIC-2,Sprint 2,,task backend-implementation,2026-01-15,2026-02-02,7h,6h,Module-2
FREQ-84,Task,Frontend Web Implementation for Registro manual pelo professor,Task: Frontend Web Implementation,High,Done,Beatriz Costa,Joao Santos,EPIC-2,Sprint 2,,task frontend-web-implementation,2026-01-15,2026-02-02,6h,5h,Module-2
FREQ-85,Task,Unit Tests for Registro manual pelo professor,Task: Unit Tests,High,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task unit-tests,2026-01-15,2026-02-02,3h,3h,Module-2
FREQ-86,Task,Code Review for Registro manual pelo professor,Task: Code Review,High,Done,Ana Oliveira,Joao Santos,EPIC-2,Sprint 2,,task code-review,2026-01-15,2026-02-02,4h,3h,Module-2
FREQ-87,Story,Historico de presencas do aluno,User story: Historico de presencas do aluno,Medium,Done,Pedro Almeida,Maria Silva,EPIC-2,Sprint 2,5,sprint-2 epic-2,2026-01-10,2026-02-02,40h,30h,Module-2
FREQ-88,Task,Design UI/UX for Historico de presencas do aluno,Task: Design UI/UX,Medium,Done,Juliana Souza,Joao Santos,EPIC-2,Sprint 2,,task design-ui/ux,2026-01-11,2026-02-02,4h,3h,Module-2
FREQ-89,Task,Backend Implementation for Historico de presencas do aluno,Task: Backend Implementation,Medium,Done,Carlos Mendes,Joao Santos,EPIC-2,Sprint 2,,task backend-implementation,2026-01-11,2026-02-02,12h,10h,Module-2
FREQ-90,Task,Frontend Web Implementation for Historico de presencas do aluno,Task: Frontend Web Implementation,Medium,Done,Beatriz Costa,Joao Santos,EPIC-2,Sprint 2,,task frontend-web-implementation,2026-01-11,2026-02-02,10h,8h,Module-2
FREQ-91,Task,Mobile Implementation for Historico de presencas do aluno,Task: Mobile Implementation,Medium,Done,Pedro Almeida,Joao Santos,EPIC-2,Sprint 2,,task mobile-implementation,2026-01-11,2026-02-02,10h,8h,Module-2
FREQ-92,Task,Unit Tests for Historico de presencas do aluno,Task: Unit Tests,Medium,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task unit-tests,2026-01-11,2026-02-02,6h,5h,Module-2
FREQ-93,Task,E2E Tests for Historico de presencas do aluno,Task: E2E Tests,Medium,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task e2e-tests,2026-01-11,2026-02-02,6h,5h,Module-2
FREQ-94,Task,Code Review for Historico de presencas do aluno,Task: Code Review,Medium,Done,Ana Oliveira,Joao Santos,EPIC-2,Sprint 2,,task code-review,2026-01-11,2026-02-02,4h,3h,Module-2
FREQ-95,Story,Edicao de presenca com justificativa,User story: Edicao de presenca com justificativa,Medium,Done,Pedro Almeida,Maria Silva,EPIC-2,Sprint 2,3,sprint-2 epic-2,2026-01-12,2026-02-02,24h,18h,Module-2
FREQ-96,Task,Design UI/UX for Edicao de presenca com justificativa,Task: Design UI/UX,Medium,Done,Juliana Souza,Joao Santos,EPIC-2,Sprint 2,,task design-ui/ux,2026-01-13,2026-02-02,4h,3h,Module-2
FREQ-97,Task,Backend Implementation for Edicao de presenca com justificativa,Task: Backend Implementation,Medium,Done,Carlos Mendes,Joao Santos,EPIC-2,Sprint 2,,task backend-implementation,2026-01-13,2026-02-02,7h,6h,Module-2
FREQ-98,Task,Frontend Web Implementation for Edicao de presenca com justificativa,Task: Frontend Web Implementation,Medium,Done,Beatriz Costa,Joao Santos,EPIC-2,Sprint 2,,task frontend-web-implementation,2026-01-13,2026-02-02,6h,5h,Module-2
FREQ-99,Task,Unit Tests for Edicao de presenca com justificativa,Task: Unit Tests,Medium,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task unit-tests,2026-01-13,2026-02-02,3h,3h,Module-2
FREQ-100,Task,Code Review for Edicao de presenca com justificativa,Task: Code Review,Medium,Done,Ana Oliveira,Joao Santos,EPIC-2,Sprint 2,,task code-review,2026-01-13,2026-02-02,4h,3h,Module-2
FREQ-101,Story,Timeout de QR Code,User story: Timeout de QR Code,High,Done,Pedro Almeida,Maria Silva,EPIC-2,Sprint 2,2,sprint-2 epic-2,2026-01-17,2026-02-02,16h,12h,Module-2
FREQ-102,Task,Design UI/UX for Timeout de QR Code,Task: Design UI/UX,High,Done,Juliana Souza,Joao Santos,EPIC-2,Sprint 2,,task design-ui/ux,2026-01-18,2026-02-02,4h,3h,Module-2
FREQ-103,Task,Backend Implementation for Timeout de QR Code,Task: Backend Implementation,High,Done,Carlos Mendes,Joao Santos,EPIC-2,Sprint 2,,task backend-implementation,2026-01-18,2026-02-02,4h,4h,Module-2
FREQ-104,Task,Frontend Web Implementation for Timeout de QR Code,Task: Frontend Web Implementation,High,Done,Beatriz Costa,Joao Santos,EPIC-2,Sprint 2,,task frontend-web-implementation,2026-01-18,2026-02-02,4h,3h,Module-2
FREQ-105,Task,Unit Tests for Timeout de QR Code,Task: Unit Tests,High,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task unit-tests,2026-01-18,2026-02-02,2h,2h,Module-2
FREQ-106,Task,Code Review for Timeout de QR Code,Task: Code Review,High,Done,Ana Oliveira,Joao Santos,EPIC-2,Sprint 2,,task code-review,2026-01-18,2026-02-02,4h,3h,Module-2
FREQ-107,Story,Reconhecimento facial,User story: Reconhecimento facial,Low,To Do,Carlos Mendes,Maria Silva,EPIC-2,Sprint 3,13,sprint-3 epic-2,2026-01-31,2026-02-16,104h,,Module-2
FREQ-108,Task,Design UI/UX for Reconhecimento facial,Task: Design UI/UX,Low,To Do,Juliana Souza,Joao Santos,EPIC-2,Sprint 3,,task design-ui/ux,2026-02-01,2026-02-16,4h,,Module-2
FREQ-109,Task,Backend Implementation for Reconhecimento facial,Task: Backend Implementation,Low,To Do,Carlos Mendes,Joao Santos,EPIC-2,Sprint 3,,task backend-implementation,2026-02-01,2026-02-16,31h,,Module-2
FREQ-110,Task,Frontend Web Implementation for Reconhecimento facial,Task: Frontend Web Implementation,Low,To Do,Beatriz Costa,Joao Santos,EPIC-2,Sprint 3,,task frontend-web-implementation,2026-02-01,2026-02-16,26h,,Module-2
FREQ-111,Task,Mobile Implementation for Reconhecimento facial,Task: Mobile Implementation,Low,To Do,Pedro Almeida,Joao Santos,EPIC-2,Sprint 3,,task mobile-implementation,2026-02-01,2026-02-16,26h,,Module-2
FREQ-112,Task,Unit Tests for Reconhecimento facial,Task: Unit Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-2,Sprint 3,,task unit-tests,2026-02-01,2026-02-16,15h,,Module-2
FREQ-113,Task,E2E Tests for Reconhecimento facial,Task: E2E Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-2,Sprint 3,,task e2e-tests,2026-02-01,2026-02-16,15h,,Module-2
FREQ-114,Task,Code Review for Reconhecimento facial,Task: Code Review,Low,To Do,Ana Oliveira,Joao Santos,EPIC-2,Sprint 3,,task code-review,2026-02-01,2026-02-16,4h,,Module-2
FREQ-115,Task,Documentation for Reconhecimento facial,Task: Documentation,Low,To Do,Joao Santos,Joao Santos,EPIC-2,Sprint 3,,task documentation,2026-02-01,2026-02-16,8h,,Module-2
FREQ-116,Story,Cadastro de disciplinas,User story: Cadastro de disciplinas,High,To Do,Pedro Almeida,Maria Silva,EPIC-3,Sprint 3,3,sprint-3 epic-3,2026-01-27,2026-02-16,24h,,Module-3
FREQ-117,Task,Design UI/UX for Cadastro de disciplinas,Task: Design UI/UX,High,To Do,Juliana Souza,Joao Santos,EPIC-3,Sprint 3,,task design-ui/ux,2026-01-28,2026-02-16,4h,,Module-3
FREQ-118,Task,Backend Implementation for Cadastro de disciplinas,Task: Backend Implementation,High,To Do,Carlos Mendes,Joao Santos,EPIC-3,Sprint 3,,task backend-implementation,2026-01-28,2026-02-16,7h,,Module-3
FREQ-119,Task,Frontend Web Implementation for Cadastro de disciplinas,Task: Frontend Web Implementation,High,To Do,Beatriz Costa,Joao Santos,EPIC-3,Sprint 3,,task frontend-web-implementation,2026-01-28,2026-02-16,6h,,Module-3
