AcademiaFreq_Project_Data
Issue Key;Issue Type;Summary;Description;Priority;Status;Assignee;Reporter;Epic Link;Sprint;Story Points;Labels;Created;Due Date;Original Estimate;Time Spent;Components
FREQ-25;Task;Testes Unitários - Cadastro de novo usuário;Realizar testes unitários para a funcionalidade: Cadastro de novo usuário;Highest;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-unitários;2026-01-04;2026-01-19;3h;3h;Module-1
FREQ-26;Task;Code Review - Cadastro de novo usuário;Realizar code review para a funcionalidade: Cadastro de novo usuário;Highest;Done;Ana Oliveira;João Santos;EPIC-1;Sprint 1;;task,code-review;2026-01-04;2026-01-19;4h;3h;Module-1
FREQ-27;Story;Perfil de aluno com foto e dados;Como usuário, eu quero perfil de aluno com foto e dados para melhorar a experiência com o app de frequência acadêmica.;High;In Progress;Carlos Mendes;Maria Silva;EPIC-1;Sprint 1;3;sprint-1,epic-1;2026-01-01;2026-01-19;24h;;Module-1
FREQ-28;Task;Design UI/UX - Perfil de aluno com foto e dados;Realizar design ui/ux para a funcionalidade: Perfil de aluno com foto e dados;High;To Do;Juliana Souza;João Santos;EPIC-1;Sprint 1;;task,design-ui/ux;2026-01-02;2026-01-19;4h;;Module-1
FREQ-29;Task;Implementação Backend - Perfil de aluno com foto e dados;Realizar implementação backend para a funcionalidade: Perfil de aluno com foto e dados;High;In Progress;Carlos Mendes;João Santos;EPIC-1;Sprint 1;;task,implementação-backend;2026-01-02;2026-01-19;7h;;Module-1
FREQ-30;Task;Implementação Frontend Web - Perfil de aluno com foto e dados;Realizar implementação frontend web para a funcionalidade: Perfil de aluno com foto e dados;High;Done;Beatriz Costa;João Santos;EPIC-1;Sprint 1;;task,implementação-frontend-web;2026-01-02;2026-01-19;6h;5h;Module-1
FREQ-31;Task;Testes Unitários - Perfil de aluno com foto e dados;Realizar testes unitários para a funcionalidade: Perfil de aluno com foto e dados;High;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-unitários;2026-01-02;2026-01-19;3h;3h;Module-1
FREQ-32;Task;Code Review - Perfil de aluno com foto e dados;Realizar code review para a funcionalidade: Perfil de aluno com foto e dados;High;To Do;Ana Oliveira;João Santos;EPIC-1;Sprint 1;;task,code-review;2026-01-02;2026-01-19;4h;;Module-1
FREQ-33;Story;Perfil de professor com disciplinas;Como usuário, eu quero perfil de professor com disciplinas para melhorar a experiência com o app de frequência acadêmica.;High;Done;Pedro Almeida;Maria Silva;EPIC-1;Sprint 1;3;sprint-1,epic-1;2025-12-30;2026-01-19;24h;18h;Module-1
FREQ-34;Task;Design UI/UX - Perfil de professor com disciplinas;Realizar design ui/ux para a funcionalidade: Perfil de professor com disciplinas;High;Done;Juliana Souza;João Santos;EPIC-1;Sprint 1;;task,design-ui/ux;2025-12-31;2026-01-19;4h;3h;Module-1
FREQ-35;Task;Implementação Backend - Perfil de professor com disciplinas;Realizar implementação backend para a funcionalidade: Perfil de professor com disciplinas;High;Done;Carlos Mendes;João Santos;EPIC-1;Sprint 1;;task,implementação-backend;2025-12-31;2026-01-19;7h;6h;Module-1
FREQ-36;Task;Implementação Frontend Web - Perfil de professor com disciplinas;Realizar implementação frontend web para a funcionalidade: Perfil de professor com disciplinas;High;Done;Beatriz Costa;João Santos;EPIC-1;Sprint 1;;task,implementação-frontend-web;2025-12-31;2026-01-19;6h;5h;Module-1
FREQ-37;Task;Testes Unitários - Perfil de professor com disciplinas;Realizar testes unitários para a funcionalidade: Perfil de professor com disciplinas;High;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-unitários;2025-12-31;2026-01-19;3h;3h;Module-1
FREQ-38;Task;Code Review - Perfil de professor com disciplinas;Realizar code review para a funcionalidade: Perfil de professor com disciplinas;High;Done;Ana Oliveira;João Santos;EPIC-1;Sprint 1;;task,code-review;2025-12-31;2026-01-19;4h;3h;Module-1
FREQ-39;Story;Perfil admin com permissões;Como usuário, eu quero perfil admin com permissões para melhorar a experiência com o app de frequência acadêmica.;Medium;In Progress;Carlos Mendes;Maria Silva;EPIC-1;Sprint 1;5;sprint-1,epic-1;2025-12-27;2026-01-19;40h;;Module-1
FREQ-40;Task;Design UI/UX - Perfil admin com permissões;Realizar design ui/ux para a funcionalidade: Perfil admin com permissões;Medium;In Progress;Juliana Souza;João Santos;EPIC-1;Sprint 1;;task,design-ui/ux;2025-12-28;2026-01-19;4h;;Module-1
FREQ-41;Task;Implementação Backend - Perfil admin com permissões;Realizar implementação backend para a funcionalidade: Perfil admin com permissões;Medium;Done;Carlos Mendes;João Santos;EPIC-1;Sprint 1;;task,implementação-backend;2025-12-28;2026-01-19;12h;10h;Module-1
FREQ-42;Task;Implementação Frontend Web - Perfil admin com permissões;Realizar implementação frontend web para a funcionalidade: Perfil admin com permissões;Medium;Done;Beatriz Costa;João Santos;EPIC-1;Sprint 1;;task,implementação-frontend-web;2025-12-28;2026-01-19;10h;8h;Module-1
FREQ-43;Task;Implementação Mobile - Perfil admin com permissões;Realizar implementação mobile para a funcionalidade: Perfil admin com permissões;Medium;Done;Pedro Almeida;João Santos;EPIC-1;Sprint 1;;task,implementação-mobile;2025-12-28;2026-01-19;10h;8h;Module-1
FREQ-44;Task;Testes Unitários - Perfil admin com permissões;Realizar testes unitários para a funcionalidade: Perfil admin com permissões;Medium;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-unitários;2025-12-28;2026-01-19;6h;5h;Module-1
FREQ-45;Task;Testes E2E - Perfil admin com permissões;Realizar testes e2e para a funcionalidade: Perfil admin com permissões;Medium;In Progress;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-e2e;2025-12-28;2026-01-19;6h;;Module-1
FREQ-46;Task;Code Review - Perfil admin com permissões;Realizar code review para a funcionalidade: Perfil admin com permissões;Medium;Done;Ana Oliveira;João Santos;EPIC-1;Sprint 1;;task,code-review;2025-12-28;2026-01-19;4h;3h;Module-1
FREQ-47;Story;Autenticação 2FA via SMS;Como usuário, eu quero autenticação 2fa via sms para melhorar a experiência com o app de frequência acadêmica.;Low;Done;Carlos Mendes;Maria Silva;EPIC-1;Sprint 1;8;sprint-1,epic-1;2026-01-01;2026-01-19;64h;48h;Module-1
FREQ-48;Task;Design UI/UX - Autenticação 2FA via SMS;Realizar design ui/ux para a funcionalidade: Autenticação 2FA via SMS;Low;Done;Juliana Souza;João Santos;EPIC-1;Sprint 1;;task,design-ui/ux;2026-01-02;2026-01-19;4h;3h;Module-1
FREQ-49;Task;Implementação Backend - Autenticação 2FA via SMS;Realizar implementação backend para a funcionalidade: Autenticação 2FA via SMS;Low;Done;Carlos Mendes;João Santos;EPIC-1;Sprint 1;;task,implementação-backend;2026-01-02;2026-01-19;19h;16h;Module-1
FREQ-50;Task;Implementação Frontend Web - Autenticação 2FA via SMS;Realizar implementação frontend web para a funcionalidade: Autenticação 2FA via SMS;Low;Done;Beatriz Costa;João Santos;EPIC-1;Sprint 1;;task,implementação-frontend-web;2026-01-02;2026-01-19;16h;14h;Module-1
FREQ-51;Task;Implementação Mobile - Autenticação 2FA via SMS;Realizar implementação mobile para a funcionalidade: Autenticação 2FA via SMS;Low;Done;Pedro Almeida;João Santos;EPIC-1;Sprint 1;;task,implementação-mobile;2026-01-02;2026-01-19;16h;14h;Module-1
FREQ-52;Task;Testes Unitários - Autenticação 2FA via SMS;Realizar testes unitários para a funcionalidade: Autenticação 2FA via SMS;Low;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-unitários;2026-01-02;2026-01-19;9h;8h;Module-1
FREQ-53;Task;Testes E2E - Autenticação 2FA via SMS;Realizar testes e2e para a funcionalidade: Autenticação 2FA via SMS;Low;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-e2e;2026-01-02;2026-01-19;9h;8h;Module-1
FREQ-54;Task;Code Review - Autenticação 2FA via SMS;Realizar code review para a funcionalidade: Autenticação 2FA via SMS;Low;Done;Ana Oliveira;João Santos;EPIC-1;Sprint 1;;task,code-review;2026-01-02;2026-01-19;4h;3h;Module-1
FREQ-55;Task;Documentação - Autenticação 2FA via SMS;Realizar documentação para a funcionalidade: Autenticação 2FA via SMS;Low;Done;João Santos;João Santos;EPIC-1;Sprint 1;;task,documentação;2026-01-02;2026-01-19;8h;7h;Module-1
FREQ-56;Story;Gerar QR Code por aula;Como usuário, eu quero gerar qr code por aula para melhorar a experiência com o app de frequência acadêmica.;Highest;In Progress;Pedro Almeida;Maria Silva;EPIC-2;Sprint 2;5;sprint-2,epic-2;2026-01-16;2026-02-02;40h;;Module-2
FREQ-57;Task;Design UI/UX - Gerar QR Code por aula;Realizar design ui/ux para a funcionalidade: Gerar QR Code por aula;Highest;In Progress;Juliana Souza;João Santos;EPIC-2;Sprint 2;;task,design-ui/ux;2026-01-17;2026-02-02;4h;;Module-2
FREQ-58;Task;Implementação Backend - Gerar QR Code por aula;Realizar implementação backend para a funcionalidade: Gerar QR Code por aula;Highest;Done;Carlos Mendes;João Santos;EPIC-2;Sprint 2;;task,implementação-backend;2026-01-17;2026-02-02;12h;10h;Module-2
FREQ-59;Task;Implementação Frontend Web - Gerar QR Code por aula;Realizar implementação frontend web para a funcionalidade: Gerar QR Code por aula;Highest;To Do;Beatriz Costa;João Santos;EPIC-2;Sprint 2;;task,implementação-frontend-web;2026-01-17;2026-02-02;10h;;Module-2
FREQ-60;Task;Implementação Mobile - Gerar QR Code por aula;Realizar implementação mobile para a funcionalidade: Gerar QR Code por aula;Highest;Done;Pedro Almeida;João Santos;EPIC-2;Sprint 2;;task,implementação-mobile;2026-01-17;2026-02-02;10h;8h;Module-2
FREQ-61;Task;Testes Unitários - Gerar QR Code por aula;Realizar testes unitários para a funcionalidade: Gerar QR Code por aula;Highest;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-unitários;2026-01-17;2026-02-02;6h;5h;Module-2
FREQ-62;Task;Testes E2E - Gerar QR Code por aula;Realizar testes e2e para a funcionalidade: Gerar QR Code por aula;Highest;To Do;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-e2e;2026-01-17;2026-02-02;6h;;Module-2
FREQ-63;Task;Code Review - Gerar QR Code por aula;Realizar code review para a funcionalidade: Gerar QR Code por aula;Highest;To Do;Ana Oliveira;João Santos;EPIC-2;Sprint 2;;task,code-review;2026-01-17;2026-02-02;4h;;Module-2
FREQ-64;Story;Escanear QR Code para marcar presença;Como usuário, eu quero escanear qr code para marcar presença para melhorar a experiência com o app de frequência acadêmica.;Highest;Done;Pedro Almeida;Maria Silva;EPIC-2;Sprint 2;5;sprint-2,epic-2;2026-01-12;2026-02-02;40h;30h;Module-2
FREQ-65;Task;Design UI/UX - Escanear QR Code para marcar presença;Realizar design ui/ux para a funcionalidade: Escanear QR Code para marcar presença;Highest;Done;Juliana Souza;João Santos;EPIC-2;Sprint 2;;task,design-ui/ux;2026-01-13;2026-02-02;4h;3h;Module-2
FREQ-66;Task;Implementação Backend - Escanear QR Code para marcar presença;Realizar implementação backend para a funcionalidade: Escanear QR Code para marcar presença;Highest;Done;Carlos Mendes;João Santos;EPIC-2;Sprint 2;;task,implementação-backend;2026-01-13;2026-02-02;12h;10h;Module-2
FREQ-67;Task;Implementação Frontend Web - Escanear QR Code para marcar presença;Realizar implementação frontend web para a funcionalidade: Escanear QR Code para marcar presença;Highest;Done;Beatriz Costa;João Santos;EPIC-2;Sprint 2;;task,implementação-frontend-web;2026-01-13;2026-02-02;10h;8h;Module-2
FREQ-68;Task;Implementação Mobile - Escanear QR Code para marcar presença;Realizar implementação mobile para a funcionalidade: Escanear QR Code para marcar presença;Highest;Done;Pedro Almeida;João Santos;EPIC-2;Sprint 2;;task,implementação-mobile;2026-01-13;2026-02-02;10h;8h;Module-2
FREQ-69;Task;Testes Unitários - Escanear QR Code para marcar presença;Realizar testes unitários para a funcionalidade: Escanear QR Code para marcar presença;Highest;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-unitários;2026-01-13;2026-02-02;6h;5h;Module-2
FREQ-70;Task;Testes E2E - Escanear QR Code para marcar presença;Realizar testes e2e para a funcionalidade: Escanear QR Code para marcar presença;Highest;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-e2e;2026-01-13;2026-02-02;6h;5h;Module-2
FREQ-71;Task;Code Review - Escanear QR Code para marcar presença;Realizar code review para a funcionalidade: Escanear QR Code para marcar presença;Highest;Done;Ana Oliveira;João Santos;EPIC-2;Sprint 2;;task,code-review;2026-01-13;2026-02-02;4h;3h;Module-2
FREQ-72;Story;Validação de geolocalização na presença;Como usuário, eu quero validação de geolocalização na presença para melhorar a experiência com o app de frequência acadêmica.;High;Done;Carlos Mendes;Maria Silva;EPIC-2;Sprint 2;8;sprint-2,epic-2;2026-01-16;2026-02-02;64h;48h;Module-2
FREQ-73;Task;Design UI/UX - Validação de geolocalização na presença;Realizar design ui/ux para a funcionalidade: Validação de geolocalização na presença;High;Done;Juliana Souza;João Santos;EPIC-2;Sprint 2;;task,design-ui/ux;2026-01-17;2026-02-02;4h;3h;Module-2
FREQ-74;Task;Implementação Backend - Validação de geolocalização na presença;Realizar implementação backend para a funcionalidade: Validação de geolocalização na presença;High;Done;Carlos Mendes;João Santos;EPIC-2;Sprint 2;;task,implementação-backend;2026-01-17;2026-02-02;19h;16h;Module-2
FREQ-75;Task;Implementação Frontend Web - Validação de geolocalização na presença;Realizar implementação frontend web para a funcionalidade: Validação de geolocalização na presença;High;Done;Beatriz Costa;João Santos;EPIC-2;Sprint 2;;task,implementação-frontend-web;2026-01-17;2026-02-02;16h;14h;Module-2
FREQ-76;Task;Implementação Mobile - Validação de geolocalização na presença;Realizar implementação mobile para a funcionalidade: Validação de geolocalização na presença;High;Done;Pedro Almeida;João Santos;EPIC-2;Sprint 2;;task,implementação-mobile;2026-01-17;2026-02-02;16h;14h;Module-2
FREQ-77;Task;Testes Unitários - Validação de geolocalização na presença;Realizar testes unitários para a funcionalidade: Validação de geolocalização na presença;High;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-unitários;2026-01-17;2026-02-02;9h;8h;Module-2
FREQ-78;Task;Testes E2E - Validação de geolocalização na presença;Realizar testes e2e para a funcionalidade: Validação de geolocalização na presença;High;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-e2e;2026-01-17;2026-02-02;9h;8h;Module-2
FREQ-79;Task;Code Review - Validação de geolocalização na presença;Realizar code review para a funcionalidade: Validação de geolocalização na presença;High;Done;Ana Oliveira;João Santos;EPIC-2;Sprint 2;;task,code-review;2026-01-17;2026-02-02;4h;3h;Module-2
FREQ-80;Task;Documentação - Validação de geolocalização na presença;Realizar documentação para a funcionalidade: Validação de geolocalização na presença;High;Done;João Santos;João Santos;EPIC-2;Sprint 2;;task,documentação;2026-01-17;2026-02-02;8h;7h;Module-2
FREQ-81;Story;Registro manual de presença pelo professor;Como usuário, eu quero registro manual de presença pelo professor para melhorar a experiência com o app de frequência acadêmica.;High;Done;Pedro Almeida;Maria Silva;EPIC-2;Sprint 2;3;sprint-2,epic-2;2026-01-11;2026-02-02;24h;18h;Module-2
FREQ-82;Task;Design UI/UX - Registro manual de presença pelo professor;Realizar design ui/ux para a funcionalidade: Registro manual de presença pelo professor;High;Done;Juliana Souza;João Santos;EPIC-2;Sprint 2;;task,design-ui/ux;2026-01-12;2026-02-02;4h;3h;Module-2
FREQ-83;Task;Implementação Backend - Registro manual de presença pelo professor;Realizar implementação backend para a funcionalidade: Registro manual de presença pelo professor;High;Done;Carlos Mendes;João Santos;EPIC-2;Sprint 2;;task,implementação-backend;2026-01-12;2026-02-02;7h;6h;Module-2
FREQ-84;Task;Implementação Frontend Web - Registro manual de presença pelo professor;Realizar implementação frontend web para a funcionalidade: Registro manual de presença pelo professor;High;Done;Beatriz Costa;João Santos;EPIC-2;Sprint 2;;task,implementação-frontend-web;2026-01-12;2026-02-02;6h;5h;Module-2
FREQ-85;Task;Testes Unitários - Registro manual de presença pelo professor;Realizar testes unitários para a funcionalidade: Registro manual de presença pelo professor;High;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-unitários;2026-01-12;2026-02-02;3h;3h;Module-2
FREQ-86;Task;Code Review - Registro manual de presença pelo professor;Realizar code review para a funcionalidade: Registro manual de presença pelo professor;High;Done;Ana Oliveira;João Santos;EPIC-2;Sprint 2;;task,code-review;2026-01-12;2026-02-02;4h;3h;Module-2
FREQ-87;Story;Histórico de presenças do aluno;Como usuário, eu quero histórico de presenças do aluno para melhorar a experiência com o app de frequência acadêmica.;Medium;Done;Carlos Mendes;Maria Silva;EPIC-2;Sprint 2;5;sprint-2,epic-2;2026-01-12;2026-02-02;40h;30h;Module-2
FREQ-88;Task;Design UI/UX - Histórico de presenças do aluno;Realizar design ui/ux para a funcionalidade: Histórico de presenças do aluno;Medium;Done;Juliana Souza;João Santos;EPIC-2;Sprint 2;;task,design-ui/ux;2026-01-13;2026-02-02;4h;3h;Module-2
FREQ-89;Task;Implementação Backend - Histórico de presenças do aluno;Realizar implementação backend para a funcionalidade: Histórico de presenças do aluno;Medium;Done;Carlos Mendes;João Santos;EPIC-2;Sprint 2;;task,implementação-backend;2026-01-13;2026-02-02;12h;10h;Module-2
FREQ-90;Task;Implementação Frontend Web - Histórico de presenças do aluno;Realizar implementação frontend web para a funcionalidade: Histórico de presenças do aluno;Medium;Done;Beatriz Costa;João Santos;EPIC-2;Sprint 2;;task,implementação-frontend-web;2026-01-13;2026-02-02;10h;8h;Module-2
FREQ-91;Task;Implementação Mobile - Histórico de presenças do aluno;Realizar implementação mobile para a funcionalidade: Histórico de presenças do aluno;Medium;Done;Pedro Almeida;João Santos;EPIC-2;Sprint 2;;task,implementação-mobile;2026-01-13;2026-02-02;10h;8h;Module-2
FREQ-92;Task;Testes Unitários - Histórico de presenças do aluno;Realizar testes unitários para a funcionalidade: Histórico de presenças do aluno;Medium;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-unitários;2026-01-13;2026-02-02;6h;5h;Module-2
FREQ-93;Task;Testes E2E - Histórico de presenças do aluno;Realizar testes e2e para a funcionalidade: Histórico de presenças do aluno;Medium;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-e2e;2026-01-13;2026-02-02;6h;5h;Module-2
FREQ-94;Task;Code Review - Histórico de presenças do aluno;Realizar code review para a funcionalidade: Histórico de presenças do aluno;Medium;Done;Ana Oliveira;João Santos;EPIC-2;Sprint 2;;task,code-review;2026-01-13;2026-02-02;4h;3h;Module-2
FREQ-95;Story;Edição de presença com justificativa;Como usuário, eu quero edição de presença com justificativa para melhorar a experiência com o app de frequência acadêmica.;Medium;Done;Pedro Almeida;Maria Silva;EPIC-2;Sprint 2;3;sprint-2,epic-2;2026-01-15;2026-02-02;24h;18h;Module-2
FREQ-96;Task;Design UI/UX - Edição de presença com justificativa;Realizar design ui/ux para a funcionalidade: Edição de presença com justificativa;Medium;Done;Juliana Souza;João Santos;EPIC-2;Sprint 2;;task,design-ui/ux;2026-01-16;2026-02-02;4h;3h;Module-2
FREQ-97;Task;Implementação Backend - Edição de presença com justificativa;Realizar implementação backend para a funcionalidade: Edição de presença com justificativa;Medium;Done;Carlos Mendes;João Santos;EPIC-2;Sprint 2;;task,implementação-backend;2026-01-16;2026-02-02;7h;6h;Module-2
FREQ-98;Task;Implementação Frontend Web - Edição de presença com justificativa;Realizar implementação frontend web para a funcionalidade: Edição de presença com justificativa;Medium;Done;Beatriz Costa;João Santos;EPIC-2;Sprint 2;;task,implementação-frontend-web;2026-01-16;2026-02-02;6h;5h;Module-2
FREQ-99;Task;Testes Unitários - Edição de presença com justificativa;Realizar testes unitários para a funcionalidade: Edição de presença com justificativa;Medium;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-unitários;2026-01-16;2026-02-02;3h;3h;Module-2
FREQ-100;Task;Code Review - Edição de presença com justificativa;Realizar code review para a funcionalidade: Edição de presença com justificativa;Medium;Done;Ana Oliveira;João Santos;EPIC-2;Sprint 2;;task,code-review;2026-01-16;2026-02-02;4h;3h;Module-2
